a,b,lat1,long1,lat2,long2
9,24,39.92,116.33,48.03,106.95
15,13,31.23,34.78,-6.18,106.77
29,26,14.62,121,27.72,85.32
12,36,28.66,77.13,-8.65,125.6
7,26,4.88,114.85,27.72,85.32
25,2,19.75,96.1,40.18,44.47
7,6,4.88,114.85,27.48,89.54
30,31,25.22,51.5,24.58,46.71
14,16,33.37,44.37,35.68,139.68
25,43,19.75,96.1,#N/A,#N/A
11,17,41.68,44.8,31.9,35.98
8,24,11.56,104.9,48.03,106.95
31,42,24.58,46.71,15.4,44.19
40,29,41.24,69.3,14.62,121
28,28,33.7,73.01,33.7,73.01
37,6,39.91,32.79,27.48,89.54
18,38,51.17,71.34,37.92,58.41
13,36,-6.18,106.77,-8.65,125.6
36,5,-8.65,125.6,23.8,90.44
2,7,40.18,44.47,4.88,114.85
34,34,38.6,68.79,38.6,68.79
16,13,35.68,139.68,-6.18,106.77
25,6,19.75,96.1,27.48,89.54
39,16,24.44,54.39,35.68,139.68
14,17,33.37,44.37,31.9,35.98
32,35,1.29,103.86,13.72,100.58
3,8,40.41,49.95,11.56,104.9
30,32,25.22,51.5,1.29,103.86
34,37,38.6,68.79,39.91,32.79
24,38,48.03,106.95,37.92,58.41
14,26,33.37,44.37,27.72,85.32
40,19,41.24,69.3,29.31,47.96
26,36,27.72,85.32,-8.65,125.6
25,19,19.75,96.1,29.31,47.96
40,9,41.24,69.3,39.92,116.33
19,6,29.31,47.96,27.48,89.54
41,3,21.01,105.8,40.41,49.95
18,19,51.17,71.34,29.31,47.96
14,14,33.37,44.37,33.37,44.37
31,7,24.58,46.71,4.88,114.85
9,37,39.92,116.33,39.91,32.79
14,1,33.37,44.37,34.49,69.17
2,17,40.18,44.47,31.9,35.98
19,10,29.31,47.96,35.17,33.33
24,29,48.03,106.95,14.62,121
23,24,4.14,73.46,48.03,106.95
10,20,35.17,33.33,42.79,74.58
4,6,26.19,50.5,27.48,89.54
32,5,1.29,103.86,23.8,90.44
14,41,33.37,44.37,21.01,105.8
39,24,24.44,54.39,48.03,106.95
1,41,34.49,69.17,21.01,105.8
2,35,40.18,44.47,13.72,100.58
25,4,19.75,96.1,26.19,50.5
34,40,38.6,68.79,41.24,69.3
23,6,4.14,73.46,27.48,89.54
31,14,24.58,46.71,33.37,44.37
25,31,19.75,96.1,24.58,46.71
36,12,-8.65,125.6,28.66,77.13
33,8,6.9,79.91,11.56,104.9
20,19,42.79,74.58,29.31,47.96
9,24,39.92,116.33,48.03,106.95
36,10,-8.65,125.6,35.17,33.33
18,24,51.17,71.34,48.03,106.95
42,2,15.4,44.19,40.18,44.47
37,28,39.91,32.79,33.7,73.01
21,23,33.8,35.52,4.14,73.46
1,14,34.49,69.17,33.37,44.37
8,32,11.56,104.9,1.29,103.86
2,32,40.18,44.47,1.29,103.86
40,8,41.24,69.3,11.56,104.9
22,28,3.07,101.66,33.7,73.01
9,39,39.92,116.33,24.44,54.39
31,18,24.58,46.71,51.17,71.34
9,39,39.92,116.33,24.44,54.39
7,40,4.88,114.85,41.24,69.3
15,19,31.23,34.78,29.31,47.96
39,7,24.44,54.39,4.88,114.85
32,32,1.29,103.86,1.29,103.86
21,27,33.8,35.52,23.5,58.57
12,12,28.66,77.13,28.66,77.13
7,37,4.88,114.85,39.91,32.79
3,8,40.41,49.95,11.56,104.9
2,17,40.18,44.47,31.9,35.98
17,38,31.9,35.98,37.92,58.41
36,29,-8.65,125.6,14.62,121
32,10,1.29,103.86,35.17,33.33
31,27,24.58,46.71,23.5,58.57
35,33,13.72,100.58,6.9,79.91
27,20,23.5,58.57,42.79,74.58
27,24,23.5,58.57,48.03,106.95
15,1,31.23,34.78,34.49,69.17
33,4,6.9,79.91,26.19,50.5
24,34,48.03,106.95,38.6,68.79
17,18,31.9,35.98,51.17,71.34
11,38,41.68,44.8,37.92,58.41
19,11,29.31,47.96,41.68,44.8
11,18,41.68,44.8,51.17,71.34
19,29,29.31,47.96,14.62,121
34,12,38.6,68.79,28.66,77.13
14,3,33.37,44.37,40.41,49.95
36,4,-8.65,125.6,26.19,50.5
42,21,15.4,44.19,33.8,35.52
7,3,4.88,114.85,40.41,49.95
26,33,27.72,85.32,6.9,79.91
1,21,34.49,69.17,33.8,35.52
27,28,23.5,58.57,33.7,73.01
35,32,13.72,100.58,1.29,103.86
3,22,40.41,49.95,3.07,101.66
4,3,26.19,50.5,40.41,49.95
29,26,14.62,121,27.72,85.32
3,28,40.41,49.95,33.7,73.01
10,29,35.17,33.33,14.62,121
16,14,35.68,139.68,33.37,44.37
22,7,3.07,101.66,4.88,114.85
15,37,31.23,34.78,39.91,32.79
33,4,6.9,79.91,26.19,50.5
24,7,48.03,106.95,4.88,114.85
39,15,24.44,54.39,31.23,34.78
28,16,33.7,73.01,35.68,139.68
29,41,14.62,121,21.01,105.8
21,18,33.8,35.52,51.17,71.34
21,1,33.8,35.52,34.49,69.17
13,8,-6.18,106.77,11.56,104.9
10,30,35.17,33.33,25.22,51.5
7,1,4.88,114.85,34.49,69.17
28,42,33.7,73.01,15.4,44.19
7,30,4.88,114.85,25.22,51.5
16,31,35.68,139.68,24.58,46.71
7,24,4.88,114.85,48.03,106.95
22,38,3.07,101.66,37.92,58.41
37,4,39.91,32.79,26.19,50.5
25,28,19.75,96.1,33.7,73.01
42,2,15.4,44.19,40.18,44.47
41,17,21.01,105.8,31.9,35.98
16,37,35.68,139.68,39.91,32.79
39,23,24.44,54.39,4.14,73.46
21,18,33.8,35.52,51.17,71.34
15,22,31.23,34.78,3.07,101.66
40,16,41.24,69.3,35.68,139.68
23,26,4.14,73.46,27.72,85.32
33,7,6.9,79.91,4.88,114.85
18,37,51.17,71.34,39.91,32.79
33,5,6.9,79.91,23.8,90.44
5,2,23.8,90.44,40.18,44.47
30,27,25.22,51.5,23.5,58.57
30,11,25.22,51.5,41.68,44.8
35,2,13.72,100.58,40.18,44.47
31,26,24.58,46.71,27.72,85.32
6,41,27.48,89.54,21.01,105.8
34,7,38.6,68.79,4.88,114.85
11,12,41.68,44.8,28.66,77.13
40,27,41.24,69.3,23.5,58.57
10,39,35.17,33.33,24.44,54.39
10,24,35.17,33.33,48.03,106.95
1,30,34.49,69.17,25.22,51.5
34,32,38.6,68.79,1.29,103.86
34,24,38.6,68.79,48.03,106.95
8,40,11.56,104.9,41.24,69.3
19,36,29.31,47.96,-8.65,125.6
23,12,4.14,73.46,28.66,77.13
33,14,6.9,79.91,33.37,44.37
36,26,-8.65,125.6,27.72,85.32
40,7,41.24,69.3,4.88,114.85
6,13,27.48,89.54,-6.18,106.77
28,18,33.7,73.01,51.17,71.34
25,16,19.75,96.1,35.68,139.68
39,1,24.44,54.39,34.49,69.17
30,43,25.22,51.5,#N/A,#N/A
11,5,41.68,44.8,23.8,90.44
7,15,4.88,114.85,31.23,34.78
10,1,35.17,33.33,34.49,69.17
14,33,33.37,44.37,6.9,79.91
15,12,31.23,34.78,28.66,77.13
6,18,27.48,89.54,51.17,71.34
21,36,33.8,35.52,-8.65,125.6
21,8,33.8,35.52,11.56,104.9
6,42,27.48,89.54,15.4,44.19
40,31,41.24,69.3,24.58,46.71
31,3,24.58,46.71,40.41,49.95
9,35,39.92,116.33,13.72,100.58
12,14,28.66,77.13,33.37,44.37
38,18,37.92,58.41,51.17,71.34
35,29,13.72,100.58,14.62,121
3,15,40.41,49.95,31.23,34.78
31,30,24.58,46.71,25.22,51.5
39,26,24.44,54.39,27.72,85.32
18,41,51.17,71.34,21.01,105.8
40,20,41.24,69.3,42.79,74.58
24,22,48.03,106.95,3.07,101.66
40,36,41.24,69.3,-8.65,125.6
12,39,28.66,77.13,24.44,54.39
31,9,24.58,46.71,39.92,116.33
35,14,13.72,100.58,33.37,44.37
41,38,21.01,105.8,37.92,58.41
34,35,38.6,68.79,13.72,100.58
36,23,-8.65,125.6,4.14,73.46
37,19,39.91,32.79,29.31,47.96
10,29,35.17,33.33,14.62,121
29,40,14.62,121,41.24,69.3
30,24,25.22,51.5,48.03,106.95
25,10,19.75,96.1,35.17,33.33
16,42,35.68,139.68,15.4,44.19
5,33,23.8,90.44,6.9,79.91
7,40,4.88,114.85,41.24,69.3
16,39,35.68,139.68,24.44,54.39
17,1,31.9,35.98,34.49,69.17
28,14,33.7,73.01,33.37,44.37
33,13,6.9,79.91,-6.18,106.77
11,3,41.68,44.8,40.41,49.95
10,27,35.17,33.33,23.5,58.57
30,25,25.22,51.5,19.75,96.1
15,39,31.23,34.78,24.44,54.39
23,2,4.14,73.46,40.18,44.47
20,34,42.79,74.58,38.6,68.79
27,16,23.5,58.57,35.68,139.68
39,6,24.44,54.39,27.48,89.54
1,34,34.49,69.17,38.6,68.79
38,8,37.92,58.41,11.56,104.9
33,1,6.9,79.91,34.49,69.17
38,9,37.92,58.41,39.92,116.33
25,11,19.75,96.1,41.68,44.8
19,4,29.31,47.96,26.19,50.5
32,38,1.29,103.86,37.92,58.41
5,41,23.8,90.44,21.01,105.8
2,37,40.18,44.47,39.91,32.79
16,27,35.68,139.68,23.5,58.57
34,23,38.6,68.79,4.14,73.46
21,20,33.8,35.52,42.79,74.58
21,34,33.8,35.52,38.6,68.79
1,1,34.49,69.17,34.49,69.17
26,9,27.72,85.32,39.92,116.33
7,37,4.88,114.85,39.91,32.79
35,19,13.72,100.58,29.31,47.96
24,20,48.03,106.95,42.79,74.58
11,31,41.68,44.8,24.58,46.71
32,14,1.29,103.86,33.37,44.37
22,10,3.07,101.66,35.17,33.33
23,13,4.14,73.46,-6.18,106.77
42,24,15.4,44.19,48.03,106.95
8,22,11.56,104.9,3.07,101.66
6,4,27.48,89.54,26.19,50.5
9,39,39.92,116.33,24.44,54.39
36,25,-8.65,125.6,19.75,96.1
6,33,27.48,89.54,6.9,79.91
24,41,48.03,106.95,21.01,105.8
32,6,1.29,103.86,27.48,89.54
8,25,11.56,104.9,19.75,96.1
11,33,41.68,44.8,6.9,79.91
33,2,6.9,79.91,40.18,44.47
14,28,33.37,44.37,33.7,73.01
36,29,-8.65,125.6,14.62,121
8,18,11.56,104.9,51.17,71.34
32,3,1.29,103.86,40.41,49.95
3,18,40.41,49.95,51.17,71.34
9,13,39.92,116.33,-6.18,106.77
24,22,48.03,106.95,3.07,101.66
42,20,15.4,44.19,42.79,74.58
1,16,34.49,69.17,35.68,139.68
38,40,37.92,58.41,41.24,69.3
25,3,19.75,96.1,40.41,49.95
37,34,39.91,32.79,38.6,68.79
17,30,31.9,35.98,25.22,51.5
27,32,23.5,58.57,1.29,103.86
25,23,19.75,96.1,4.14,73.46
13,15,-6.18,106.77,31.23,34.78
15,30,31.23,34.78,25.22,51.5
8,12,11.56,104.9,28.66,77.13
35,29,13.72,100.58,14.62,121
32,15,1.29,103.86,31.23,34.78
41,10,21.01,105.8,35.17,33.33
24,33,48.03,106.95,6.9,79.91
21,3,33.8,35.52,40.41,49.95
41,37,21.01,105.8,39.91,32.79
26,17,27.72,85.32,31.9,35.98
13,31,-6.18,106.77,24.58,46.71
5,3,23.8,90.44,40.41,49.95
39,15,24.44,54.39,31.23,34.78
7,38,4.88,114.85,37.92,58.41
15,34,31.23,34.78,38.6,68.79
35,32,13.72,100.58,1.29,103.86
36,26,-8.65,125.6,27.72,85.32
20,15,42.79,74.58,31.23,34.78
8,21,11.56,104.9,33.8,35.52
15,30,31.23,34.78,25.22,51.5
26,16,27.72,85.32,35.68,139.68
33,32,6.9,79.91,1.29,103.86
21,39,33.8,35.52,24.44,54.39
9,27,39.92,116.33,23.5,58.57
4,28,26.19,50.5,33.7,73.01
32,27,1.29,103.86,23.5,58.57
32,38,1.29,103.86,37.92,58.41
3,29,40.41,49.95,14.62,121
32,5,1.29,103.86,23.8,90.44
33,3,6.9,79.91,40.41,49.95
35,20,13.72,100.58,42.79,74.58
2,37,40.18,44.47,39.91,32.79
22,19,3.07,101.66,29.31,47.96
16,22,35.68,139.68,3.07,101.66
13,1,-6.18,106.77,34.49,69.17
28,6,33.7,73.01,27.48,89.54
33,40,6.9,79.91,41.24,69.3
4,40,26.19,50.5,41.24,69.3
36,22,-8.65,125.6,3.07,101.66
7,2,4.88,114.85,40.18,44.47
4,11,26.19,50.5,41.68,44.8
2,30,40.18,44.47,25.22,51.5
6,28,27.48,89.54,33.7,73.01
22,34,3.07,101.66,38.6,68.79
22,41,3.07,101.66,21.01,105.8
4,10,26.19,50.5,35.17,33.33
5,30,23.8,90.44,25.22,51.5
2,27,40.18,44.47,23.5,58.57
19,26,29.31,47.96,27.72,85.32
3,36,40.41,49.95,-8.65,125.6
17,42,31.9,35.98,15.4,44.19
36,39,-8.65,125.6,24.44,54.39
19,3,29.31,47.96,40.41,49.95
30,35,25.22,51.5,13.72,100.58
24,18,48.03,106.95,51.17,71.34
25,2,19.75,96.1,40.18,44.47
41,36,21.01,105.8,-8.65,125.6
18,11,51.17,71.34,41.68,44.8
6,5,27.48,89.54,23.8,90.44
11,37,41.68,44.8,39.91,32.79
23,18,4.14,73.46,51.17,71.34
21,13,33.8,35.52,-6.18,106.77
13,34,-6.18,106.77,38.6,68.79
38,7,37.92,58.41,4.88,114.85
18,33,51.17,71.34,6.9,79.91
10,38,35.17,33.33,37.92,58.41
21,39,33.8,35.52,24.44,54.39
3,40,40.41,49.95,41.24,69.3
42,38,15.4,44.19,37.92,58.41
37,7,39.91,32.79,4.88,114.85
19,16,29.31,47.96,35.68,139.68
10,13,35.17,33.33,-6.18,106.77
29,8,14.62,121,11.56,104.9
28,25,33.7,73.01,19.75,96.1
30,16,25.22,51.5,35.68,139.68
17,42,31.9,35.98,15.4,44.19
1,36,34.49,69.17,-8.65,125.6
9,25,39.92,116.33,19.75,96.1
40,9,41.24,69.3,39.92,116.33
5,40,23.8,90.44,41.24,69.3
37,26,39.91,32.79,27.72,85.32
1,15,34.49,69.17,31.23,34.78
35,40,13.72,100.58,41.24,69.3
3,35,40.41,49.95,13.72,100.58
4,12,26.19,50.5,28.66,77.13
27,23,23.5,58.57,4.14,73.46
7,17,4.88,114.85,31.9,35.98
22,42,3.07,101.66,15.4,44.19
38,2,37.92,58.41,40.18,44.47
28,36,33.7,73.01,-8.65,125.6
26,26,27.72,85.32,27.72,85.32
28,26,33.7,73.01,27.72,85.32
23,12,4.14,73.46,28.66,77.13
19,38,29.31,47.96,37.92,58.41
30,9,25.22,51.5,39.92,116.33
21,41,33.8,35.52,21.01,105.8
22,2,3.07,101.66,40.18,44.47
13,6,-6.18,106.77,27.48,89.54
8,30,11.56,104.9,25.22,51.5
6,24,27.48,89.54,48.03,106.95
12,1,28.66,77.13,34.49,69.17
21,31,33.8,35.52,24.58,46.71
29,5,14.62,121,23.8,90.44
17,24,31.9,35.98,48.03,106.95
7,34,4.88,114.85,38.6,68.79
14,40,33.37,44.37,41.24,69.3
18,7,51.17,71.34,4.88,114.85
21,22,33.8,35.52,3.07,101.66
29,24,14.62,121,48.03,106.95
14,9,33.37,44.37,39.92,116.33
29,16,14.62,121,35.68,139.68
5,30,23.8,90.44,25.22,51.5
8,26,11.56,104.9,27.72,85.32
6,3,27.48,89.54,40.41,49.95
40,39,41.24,69.3,24.44,54.39
18,3,51.17,71.34,40.41,49.95
19,8,29.31,47.96,11.56,104.9
19,6,29.31,47.96,27.48,89.54
40,35,41.24,69.3,13.72,100.58
8,30,11.56,104.9,25.22,51.5
4,5,26.19,50.5,23.8,90.44
33,29,6.9,79.91,14.62,121
2,3,40.18,44.47,40.41,49.95
13,16,-6.18,106.77,35.68,139.68
22,29,3.07,101.66,14.62,121
25,6,19.75,96.1,27.48,89.54
31,9,24.58,46.71,39.92,116.33
2,23,40.18,44.47,4.14,73.46
34,21,38.6,68.79,33.8,35.52
7,41,4.88,114.85,21.01,105.8
33,11,6.9,79.91,41.68,44.8
19,4,29.31,47.96,26.19,50.5
3,2,40.41,49.95,40.18,44.47
12,18,28.66,77.13,51.17,71.34
7,12,4.88,114.85,28.66,77.13
25,22,19.75,96.1,3.07,101.66
40,2,41.24,69.3,40.18,44.47
13,32,-6.18,106.77,1.29,103.86
22,26,3.07,101.66,27.72,85.32
23,13,4.14,73.46,-6.18,106.77
21,31,33.8,35.52,24.58,46.71
20,1,42.79,74.58,34.49,69.17
6,40,27.48,89.54,41.24,69.3
13,41,-6.18,106.77,21.01,105.8
5,24,23.8,90.44,48.03,106.95
2,12,40.18,44.47,28.66,77.13
13,17,-6.18,106.77,31.9,35.98
1,14,34.49,69.17,33.37,44.37
29,24,14.62,121,48.03,106.95
31,13,24.58,46.71,-6.18,106.77
16,24,35.68,139.68,48.03,106.95
38,26,37.92,58.41,27.72,85.32
42,6,15.4,44.19,27.48,89.54
40,5,41.24,69.3,23.8,90.44
8,15,11.56,104.9,31.23,34.78
29,1,14.62,121,34.49,69.17
14,19,33.37,44.37,29.31,47.96
35,4,13.72,100.58,26.19,50.5
24,21,48.03,106.95,33.8,35.52
16,15,35.68,139.68,31.23,34.78
34,10,38.6,68.79,35.17,33.33
2,25,40.18,44.47,19.75,96.1
33,10,6.9,79.91,35.17,33.33
7,18,4.88,114.85,51.17,71.34
18,27,51.17,71.34,23.5,58.57
15,38,31.23,34.78,37.92,58.41
29,37,14.62,121,39.91,32.79
42,39,15.4,44.19,24.44,54.39
37,30,39.91,32.79,25.22,51.5
27,18,23.5,58.57,51.17,71.34
9,29,39.92,116.33,14.62,121
32,34,1.29,103.86,38.6,68.79
34,28,38.6,68.79,33.7,73.01
37,7,39.91,32.79,4.88,114.85
9,40,39.92,116.33,41.24,69.3
33,20,6.9,79.91,42.79,74.58
8,33,11.56,104.9,6.9,79.91
33,37,6.9,79.91,39.91,32.79
9,1,39.92,116.33,34.49,69.17
28,28,33.7,73.01,33.7,73.01
12,35,28.66,77.13,13.72,100.58
24,42,48.03,106.95,15.4,44.19
8,8,11.56,104.9,11.56,104.9
3,8,40.41,49.95,11.56,104.9
7,13,4.88,114.85,-6.18,106.77
9,34,39.92,116.33,38.6,68.79
31,18,24.58,46.71,51.17,71.34
29,23,14.62,121,4.14,73.46
34,17,38.6,68.79,31.9,35.98
36,1,-8.65,125.6,34.49,69.17
20,32,42.79,74.58,1.29,103.86
4,21,26.19,50.5,33.8,35.52
9,38,39.92,116.33,37.92,58.41
2,43,40.18,44.47,#N/A,#N/A
33,42,6.9,79.91,15.4,44.19
7,35,4.88,114.85,13.72,100.58
32,11,1.29,103.86,41.68,44.8
9,24,39.92,116.33,48.03,106.95
26,39,27.72,85.32,24.44,54.39
1,1,34.49,69.17,34.49,69.17
4,32,26.19,50.5,1.29,103.86
10,25,35.17,33.33,19.75,96.1
3,32,40.41,49.95,1.29,103.86
1,8,34.49,69.17,11.56,104.9
37,39,39.91,32.79,24.44,54.39
6,34,27.48,89.54,38.6,68.79
21,41,33.8,35.52,21.01,105.8
34,14,38.6,68.79,33.37,44.37
34,3,38.6,68.79,40.41,49.95
20,16,42.79,74.58,35.68,139.68
14,22,33.37,44.37,3.07,101.66
41,39,21.01,105.8,24.44,54.39
27,27,23.5,58.57,23.5,58.57
9,26,39.92,116.33,27.72,85.32
28,9,33.7,73.01,39.92,116.33
30,19,25.22,51.5,29.31,47.96
7,19,4.88,114.85,29.31,47.96
30,33,25.22,51.5,6.9,79.91
31,43,24.58,46.71,#N/A,#N/A
27,34,23.5,58.57,38.6,68.79
28,41,33.7,73.01,21.01,105.8
17,17,31.9,35.98,31.9,35.98
6,14,27.48,89.54,33.37,44.37
8,25,11.56,104.9,19.75,96.1
12,42,28.66,77.13,15.4,44.19
32,2,1.29,103.86,40.18,44.47
24,12,48.03,106.95,28.66,77.13
40,8,41.24,69.3,11.56,104.9
21,18,33.8,35.52,51.17,71.34
37,4,39.91,32.79,26.19,50.5
4,40,26.19,50.5,41.24,69.3
41,10,21.01,105.8,35.17,33.33
39,14,24.44,54.39,33.37,44.37
13,13,-6.18,106.77,-6.18,106.77
17,9,31.9,35.98,39.92,116.33
23,1,4.14,73.46,34.49,69.17
2,15,40.18,44.47,31.23,34.78
4,21,26.19,50.5,33.8,35.52
23,33,4.14,73.46,6.9,79.91
26,20,27.72,85.32,42.79,74.58
40,13,41.24,69.3,-6.18,106.77
35,37,13.72,100.58,39.91,32.79
36,41,-8.65,125.6,21.01,105.8
14,10,33.37,44.37,35.17,33.33
34,9,38.6,68.79,39.92,116.33
37,38,39.91,32.79,37.92,58.41
27,18,23.5,58.57,51.17,71.34
10,35,35.17,33.33,13.72,100.58
10,30,35.17,33.33,25.22,51.5
40,1,41.24,69.3,34.49,69.17
22,21,3.07,101.66,33.8,35.52
27,39,23.5,58.57,24.44,54.39
20,12,42.79,74.58,28.66,77.13
40,23,41.24,69.3,4.14,73.46
5,16,23.8,90.44,35.68,139.68
22,2,3.07,101.66,40.18,44.47
19,34,29.31,47.96,38.6,68.79
8,3,11.56,104.9,40.41,49.95
18,27,51.17,71.34,23.5,58.57
12,3,28.66,77.13,40.41,49.95
26,23,27.72,85.32,4.14,73.46
18,5,51.17,71.34,23.8,90.44
39,5,24.44,54.39,23.8,90.44
11,39,41.68,44.8,24.44,54.39
14,2,33.37,44.37,40.18,44.47
30,21,25.22,51.5,33.8,35.52
26,32,27.72,85.32,1.29,103.86
27,36,23.5,58.57,-8.65,125.6
35,19,13.72,100.58,29.31,47.96
20,13,42.79,74.58,-6.18,106.77
2,22,40.18,44.47,3.07,101.66
35,4,13.72,100.58,26.19,50.5
7,9,4.88,114.85,39.92,116.33
33,39,6.9,79.91,24.44,54.39
2,7,40.18,44.47,4.88,114.85
12,20,28.66,77.13,42.79,74.58
21,23,33.8,35.52,4.14,73.46
26,41,27.72,85.32,21.01,105.8
6,6,27.48,89.54,27.48,89.54
1,17,34.49,69.17,31.9,35.98
6,13,27.48,89.54,-6.18,106.77
16,7,35.68,139.68,4.88,114.85
15,10,31.23,34.78,35.17,33.33
19,5,29.31,47.96,23.8,90.44
17,37,31.9,35.98,39.91,32.79
16,26,35.68,139.68,27.72,85.32
3,41,40.41,49.95,21.01,105.8
26,25,27.72,85.32,19.75,96.1
28,39,33.7,73.01,24.44,54.39
25,40,19.75,96.1,41.24,69.3
39,12,24.44,54.39,28.66,77.13
33,29,6.9,79.91,14.62,121
32,29,1.29,103.86,14.62,121
36,42,-8.65,125.6,15.4,44.19
8,34,11.56,104.9,38.6,68.79
2,19,40.18,44.47,29.31,47.96
9,16,39.92,116.33,35.68,139.68
18,29,51.17,71.34,14.62,121
17,35,31.9,35.98,13.72,100.58
41,9,21.01,105.8,39.92,116.33
39,17,24.44,54.39,31.9,35.98
19,42,29.31,47.96,15.4,44.19
22,34,3.07,101.66,38.6,68.79
21,38,33.8,35.52,37.92,58.41
32,5,1.29,103.86,23.8,90.44
14,30,33.37,44.37,25.22,51.5
33,40,6.9,79.91,41.24,69.3
19,9,29.31,47.96,39.92,116.33
10,6,35.17,33.33,27.48,89.54
12,3,28.66,77.13,40.41,49.95
33,4,6.9,79.91,26.19,50.5
41,31,21.01,105.8,24.58,46.71
40,30,41.24,69.3,25.22,51.5
1,39,34.49,69.17,24.44,54.39
24,19,48.03,106.95,29.31,47.96
38,28,37.92,58.41,33.7,73.01
14,9,33.37,44.37,39.92,116.33
7,31,4.88,114.85,24.58,46.71
29,14,14.62,121,33.37,44.37
18,5,51.17,71.34,23.8,90.44
5,25,23.8,90.44,19.75,96.1
19,29,29.31,47.96,14.62,121
17,16,31.9,35.98,35.68,139.68
11,8,41.68,44.8,11.56,104.9
41,9,21.01,105.8,39.92,116.33
39,34,24.44,54.39,38.6,68.79
31,9,24.58,46.71,39.92,116.33
8,41,11.56,104.9,21.01,105.8
26,4,27.72,85.32,26.19,50.5
15,41,31.23,34.78,21.01,105.8
23,28,4.14,73.46,33.7,73.01
26,31,27.72,85.32,24.58,46.71
36,23,-8.65,125.6,4.14,73.46
12,20,28.66,77.13,42.79,74.58
13,10,-6.18,106.77,35.17,33.33
21,2,33.8,35.52,40.18,44.47
8,26,11.56,104.9,27.72,85.32
41,34,21.01,105.8,38.6,68.79
5,9,23.8,90.44,39.92,116.33
23,29,4.14,73.46,14.62,121
15,24,31.23,34.78,48.03,106.95
6,32,27.48,89.54,1.29,103.86
4,7,26.19,50.5,4.88,114.85
10,8,35.17,33.33,11.56,104.9
1,42,34.49,69.17,15.4,44.19
31,25,24.58,46.71,19.75,96.1
11,28,41.68,44.8,33.7,73.01
33,20,6.9,79.91,42.79,74.58
34,37,38.6,68.79,39.91,32.79
5,19,23.8,90.44,29.31,47.96
5,31,23.8,90.44,24.58,46.71
13,3,-6.18,106.77,40.41,49.95
37,43,39.91,32.79,#N/A,#N/A
26,35,27.72,85.32,13.72,100.58
28,16,33.7,73.01,35.68,139.68
17,38,31.9,35.98,37.92,58.41
12,22,28.66,77.13,3.07,101.66
18,29,51.17,71.34,14.62,121
2,15,40.18,44.47,31.23,34.78
25,29,19.75,96.1,14.62,121
27,21,23.5,58.57,33.8,35.52
40,6,41.24,69.3,27.48,89.54
23,16,4.14,73.46,35.68,139.68
19,27,29.31,47.96,23.5,58.57
40,39,41.24,69.3,24.44,54.39
42,28,15.4,44.19,33.7,73.01
38,35,37.92,58.41,13.72,100.58
39,32,24.44,54.39,1.29,103.86
17,42,31.9,35.98,15.4,44.19
31,5,24.58,46.71,23.8,90.44
27,19,23.5,58.57,29.31,47.96
37,6,39.91,32.79,27.48,89.54
10,27,35.17,33.33,23.5,58.57
37,16,39.91,32.79,35.68,139.68
40,9,41.24,69.3,39.92,116.33
42,40,15.4,44.19,41.24,69.3
18,23,51.17,71.34,4.14,73.46
6,25,27.48,89.54,19.75,96.1
42,14,15.4,44.19,33.37,44.37
19,17,29.31,47.96,31.9,35.98
29,39,14.62,121,24.44,54.39
32,33,1.29,103.86,6.9,79.91
9,34,39.92,116.33,38.6,68.79
6,27,27.48,89.54,23.5,58.57
12,25,28.66,77.13,19.75,96.1
11,28,41.68,44.8,33.7,73.01
38,20,37.92,58.41,42.79,74.58
20,16,42.79,74.58,35.68,139.68
8,32,11.56,104.9,1.29,103.86
18,40,51.17,71.34,41.24,69.3
6,6,27.48,89.54,27.48,89.54
28,9,33.7,73.01,39.92,116.33
15,38,31.23,34.78,37.92,58.41
31,29,24.58,46.71,14.62,121
2,18,40.18,44.47,51.17,71.34
19,2,29.31,47.96,40.18,44.47
13,26,-6.18,106.77,27.72,85.32
22,36,3.07,101.66,-8.65,125.6
5,42,23.8,90.44,15.4,44.19
4,8,26.19,50.5,11.56,104.9
36,2,-8.65,125.6,40.18,44.47
1,35,34.49,69.17,13.72,100.58
29,25,14.62,121,19.75,96.1
42,17,15.4,44.19,31.9,35.98
6,4,27.48,89.54,26.19,50.5
13,35,-6.18,106.77,13.72,100.58
6,43,27.48,89.54,#N/A,#N/A
39,42,24.44,54.39,15.4,44.19
36,42,-8.65,125.6,15.4,44.19
16,41,35.68,139.68,21.01,105.8
1,35,34.49,69.17,13.72,100.58
19,41,29.31,47.96,21.01,105.8
34,29,38.6,68.79,14.62,121
21,5,33.8,35.52,23.8,90.44
8,2,11.56,104.9,40.18,44.47
18,8,51.17,71.34,11.56,104.9
13,34,-6.18,106.77,38.6,68.79
25,6,19.75,96.1,27.48,89.54
27,43,23.5,58.57,#N/A,#N/A
6,11,27.48,89.54,41.68,44.8
7,28,4.88,114.85,33.7,73.01
16,6,35.68,139.68,27.48,89.54
33,13,6.9,79.91,-6.18,106.77
9,21,39.92,116.33,33.8,35.52
29,10,14.62,121,35.17,33.33
27,33,23.5,58.57,6.9,79.91
2,7,40.18,44.47,4.88,114.85
25,38,19.75,96.1,37.92,58.41
16,26,35.68,139.68,27.72,85.32
24,23,48.03,106.95,4.14,73.46
11,6,41.68,44.8,27.48,89.54
30,9,25.22,51.5,39.92,116.33
39,18,24.44,54.39,51.17,71.34
16,40,35.68,139.68,41.24,69.3
