"fixed acidity;""volatile acidity"";""citric acid"";""residual sugar"";""chlorides"";""free sulfur dioxide"";""total sulfur dioxide"";""density"";""pH"";""sulphates"";""alcohol"";""quality""",,
9;0.27;0.35;4.9;0.028;27;95;0.9932;3.04;0.4;11.3;6,0.306218634,3411
7.3;0.34;0.21;3.2;0.05;14;136;0.9936;3.25;0.44;10.2;5,0.127345307,4257
6.6;0.27;0.25;3.1;0.052;41;188;0.9915;3.24;0.4;11.3;5,0.646584438,1715
6.8;0.29;0.16;1.4;0.038;122.5;234.5;0.9922;3.15;0.47;10;4,0.223200656,3811
7.1;0.28;0.26;1.9;0.049;12;86;0.9934;3.15;0.38;9.4;5,0.704150455,1435
6.8;0.25;0.34;14;0.032;47;133;0.9952;3.37;0.5;12.2;7,0.221320556,3823
7;0.57;0.1;8.3;0.094;23;188;0.9972;3.4;0.47;9.2;4,0.021298512,4793
7.1;0.28;0.26;1.9;0.049;12;86;0.9934;3.15;0.38;9.4;5,0.790987703,979
7.1;0.17;0.38;7.4;0.052;49;182;0.9958;3.35;0.52;9.6;6,0.759631615,1128
7.8;0.28;0.22;1.4;0.056;24;130;0.9944;3.28;0.48;9.5;5,0.449387137,2707
6.8;0.22;0.37;1.7;0.036;38;195;0.9908;3.35;0.72;12.5;6,0.347668263,3197
7.1;0.17;0.38;7.4;0.052;49;182;0.9958;3.35;0.52;9.6;6,0.938034206,289
6.1;0.14;0.25;1.3;0.047;37;173;0.9925;3.35;0.46;10;6,0.02544134,4769
6.4;0.24;0.5;11.6;0.047;60;211;0.9966;3.18;0.57;9.3;5,0.548148529,2241
7.8;0.42;0.26;9.2;0.058;34;199;0.9972;3.14;0.55;9.3;6,0.564668098,2154
6.6;0.28;0.36;1.7;0.038;22;101;0.9912;3.29;0.57;11.6;6,0.500911042,2479
7.1;0.32;0.34;14.5;0.039;46;150;0.995;3.38;0.5;12.5;8,0.775384482,1056
6.7;0.31;0.3;2.1;0.038;18;130;0.9928;3.36;0.63;10.6;6,0.86840381,625
6.4;0.32;0.5;10.7;0.047;57;206;0.9968;3.08;0.6;9.4;5,0.396980112,2959
6.1;0.28;0.25;6.9;0.056;44;201;0.9955;3.19;0.4;9.1;6,0.565978457,2147
5.9;0.29;0.25;12;0.057;48;224;0.9981;3.23;0.41;9;6,0.548322995,2240
5.8;0.32;0.38;4.75;0.033;23;94;0.991;3.42;0.42;11.8;7,0.375413584,3071
5.8;0.32;0.38;4.75;0.033;23;94;0.991;3.42;0.42;11.8;7,0.915450591,395
5.7;0.32;0.38;4.75;0.033;23;94;0.991;3.42;0.42;11.8;7,0.059253461,4596
6.7;0.28;0.14;1.4;0.043;64;159;0.992;3.17;0.39;10;5,0.896684202,479
6.8;0.34;0.69;1.3;0.058;12;171;0.9931;3.06;0.47;9.7;5,0.101749489,4398
5.9;0.25;0.25;11.3;0.052;30;165;0.997;3.24;0.44;9.5;6,0.323699514,3315
6.4;0.27;0.32;4.5;0.24;61;174;0.9948;3.12;0.48;9.4;5,0.479269419,2581
8.1;0.46;0.31;1.7;0.052;50;183;0.9923;3.03;0.42;11.2;5,0.607277883,1921
6.2;0.36;0.26;13.2;0.051;54;201;0.9976;3.25;0.46;9;5,0.117121463,4315
6.8;0.22;0.35;5.5;0.043;21;114;0.9938;3.3;0.53;10.7;7,0.664635622,1631
6.8;0.67;0.3;13;0.29;22;193;0.9984;3.08;0.67;9;4,0.069623956,4534
7.2;0.28;0.3;10.7;0.044;61;222;0.9972;3.14;0.5;9.1;6,0.063805489,4568
6.7;0.17;0.37;2;0.039;34;125;0.9922;3.26;0.6;10.8;7,0.054800829,4621
6.9;0.2;0.34;1.9;0.043;25;136;0.9935;3.31;0.6;10.1;4,0.745822601,1199
6.1;0.36;0.16;6.4;0.037;36;198;0.9944;3.17;0.62;9.9;6,0.670138917,1607
6;0.36;0.16;6.3;0.036;36;191;0.9942;3.17;0.62;9.8;5,0.895666903,490
5.9;0.37;0.14;6.3;0.036;34;185;0.9944;3.17;0.63;9.8;5,0.066486439,4552
7.6;0.29;0.58;17.5;0.041;51;225;0.9997;3.16;0.66;9.5;6,0.17552315,4045
6.3;0.34;0.28;14.7;0.047;49;198;0.9977;3.23;0.46;9.5;5,0.212554954,3863
6.7;0.19;0.34;1;0.022;22;94;0.9912;3.23;0.57;11.1;6,0.347138388,3200
7.5;0.31;0.51;14.8;0.039;62;204;0.9982;3.06;0.6;9.5;5,0.986820452,65
7.5;0.31;0.51;14.8;0.039;62;204;0.9982;3.06;0.6;9.5;5,0.308116067,3400
7.4;0.31;0.48;14.2;0.042;62;204;0.9983;3.06;0.59;9.4;5,0.691585585,1504
8.4;0.4;0.7;13.1;0.042;29;197;0.998;3.06;0.64;9.7;5,0.562585276,2164
5.9;0.34;0.22;2.4;0.03;19;135;0.9894;3.41;0.78;13.9;7,0.889980717,524
6.6;0.38;0.18;1.2;0.042;20;84;0.9927;3.22;0.45;10.1;4,0.550519779,2228
6.4;0.33;0.28;1.1;0.038;30;110;0.9917;3.12;0.42;10.5;6,0.642094255,1736
5.6;0.25;0.26;3.6;0.037;18;115;0.9904;3.42;0.5;12.6;6,0.059735552,4594
8.6;0.27;0.46;6.1;0.032;13;41;0.993;2.89;0.34;10.9;5,0.871427444,613
6.2;0.31;0.21;6.3;0.041;50;218;0.9941;3.15;0.6;10;5,0.897045362,475
7.2;0.18;0.45;4.4;0.046;57;166;0.9943;3.13;0.62;11.2;6,0.099805025,4406
7.7;0.2;0.44;13.9;0.05;44;130;0.99855;3.11;0.48;10;6,0.358270198,3141
6.2;0.47;0.21;1;0.044;13;98;0.99345;3.14;0.46;9.2;5,0.557105422,2194
6.1;0.25;0.24;12.1;0.046;51;172;0.998;3.35;0.45;9.5;5,0.253700625,3660
8.2;0.27;0.43;1.6;0.035;31;128;0.9916;3.1;0.5;12.3;6,0.387488867,3007
8.2;0.27;0.43;1.6;0.035;31;128;0.9916;3.1;0.5;12.3;6,0.91595778,391
6.4;0.31;0.39;7.5;0.04;57;213;0.99475;3.32;0.43;10;5,0.18596342,3989
6;0.39;0.26;2.7;0.038;39;187;0.99325;3.41;0.5;10.8;6,0.869885296,619
6.2;0.21;0.27;1.7;0.038;41;150;0.9933;3.49;0.71;10.5;7,0.926660549,346
7.7;0.42;0.31;9.2;0.048;22;221;0.9969;3.06;0.61;9.2;6,0.886867578,540
7;0.27;0.41;18.75;0.042;34;157;1.0002;2.96;0.5;9.1;5,0.713150909,1391
6.2;0.21;0.27;1.7;0.038;41;150;0.9933;3.49;0.71;10.5;7,0.332937345,3272
7.4;0.29;0.5;1.8;0.042;35;127;0.9937;3.45;0.5;10.2;7,0.748210457,1190
6.6;0.29;0.44;9;0.053;62;178;0.99685;3.02;0.45;8.9;5,0.94697055,252
6;0.3;0.44;1.5;0.046;15;182;0.99455;3.5;0.52;10.4;5,0.137227531,4217
6.9;0.31;0.34;1.6;0.032;23;128;0.9917;3.37;0.47;11.7;6,0.037733775,4718
6.6;0.33;0.31;1.3;0.02;29;89;0.99035;3.26;0.44;12.4;8,0.785383117,1012
7.8;0.3;0.4;1.8;0.028;23;122;0.9914;3.14;0.39;10.9;7,0.28485835,3515
6.4;0.39;0.21;1.2;0.041;35;136;0.99225;3.15;0.46;10.2;5,0.87222281,609
6.4;0.24;0.31;2.8;0.038;41;114;0.99155;3.37;0.66;11.7;7,0.453747571,2689
7;0.21;0.34;8;0.057;19;101;0.9954;2.99;0.59;9.4;5,0.353714937,3167
6.4;0.16;0.31;5.3;0.043;42;157;0.99455;3.35;0.47;10.5;5,0.157660368,4119
6;0.33;0.27;0.8;0.185;12;188;0.9924;3.12;0.62;9.4;5,0.313607054,3363
6.5;0.23;0.33;13.8;0.042;25;139;0.99695;3.35;0.56;10.4;6,0.425853228,2825
6.2;0.25;0.48;10;0.044;78;240;0.99655;3.25;0.47;9.5;6,0.92041745,374
8.8;0.28;0.45;6;0.022;14;49;0.9934;3.01;0.33;11.1;7,0.111578687,4349
6.6;0.25;0.3;14.4;0.052;40;183;0.998;3.02;0.5;9.1;6,0.441052029,2747
6.9;0.38;0.25;9.8;0.04;28;191;0.9971;3.28;0.61;9.2;5,0.255612416,3653
6.4;0.25;0.3;5.5;0.038;15;129;0.9948;3.14;0.49;9.6;6,0.537499684,2288
6.6;0.25;0.3;14.4;0.052;40;183;0.998;3.02;0.5;9.1;6,0.489039354,2537
6.9;0.38;0.25;9.8;0.04;28;191;0.9971;3.28;0.61;9.2;5,0.302084379,3432
7.1;0.21;0.31;3.8;0.021;40;142;0.99215;3.17;0.39;10.8;7,0.277765325,3550
6.4;0.25;0.3;5.5;0.038;15;129;0.9948;3.14;0.49;9.6;6,0.700165762,1457
6.9;0.39;0.4;4.6;0.022;5;19;0.9915;3.31;0.37;12.6;3,0.653970629,1684
5.8;0.2;0.3;1.5;0.031;21;57;0.99115;3.44;0.55;11;6,0.986609778,66
7;0.2;0.37;2;0.03;26;136;0.9932;3.28;0.61;10.2;6,0.087365658,4463
5.9;0.26;0.25;12.5;0.034;38;152;0.9977;3.33;0.43;9.4;5,0.577424472,2079
7.4;0.38;0.27;7.5;0.041;24;160;0.99535;3.17;0.43;10;5,0.879904856,570
7.4;0.2;1.66;2.1;0.022;34;113;0.99165;3.26;0.55;12.2;6,0.567385368,2138
7;0.21;0.34;8.5;0.033;31;253;0.9953;3.22;0.56;10.5;6,0.128983572,4251
7.2;0.29;0.4;7.6;0.024;56;177;0.9928;3.04;0.32;11.5;6,0.559095888,2187
6.9;0.18;0.38;8.1;0.049;44;176;0.9958;3.3;0.54;9.8;6,0.146902384,4175
7.3;0.3;0.42;7.35;0.025;51;175;0.9928;3.04;0.32;11.4;6,0.335950245,3257
7.2;0.29;0.4;7.6;0.024;56;177;0.9928;3.04;0.32;11.5;6,0.99974896,1
6.9;0.2;0.5;10;0.036;78;167;0.9964;3.15;0.55;10.2;6,0.278060741,3546
6.7;0.2;0.42;14;0.038;83;160;0.9987;3.16;0.5;9.4;6,0.941074569,278
7;0.21;0.34;8.5;0.033;31;253;0.9953;3.22;0.56;10.5;6,0.640655978,1746
5.9;0.35;0.47;2.2;0.11;14;138;0.9932;3.09;0.5;9.1;5,0.130793516,4239
7.1;0.28;0.44;1.8;0.032;32;107;0.9907;3.25;0.48;12.2;7,0.526073291,2349
5.8;0.25;0.28;11.1;0.056;45;175;0.99755;3.42;0.43;9.5;5,0.352496502,3173
6.8;0.22;0.37;15.2;0.051;68;178;0.99935;3.4;0.85;9.3;6,0.69836762,1471
7.1;0.14;0.4;1.2;0.051;55;136;0.9932;3.3;0.96;9.8;7,0.283941407,3522
7.1;0.13;0.4;1.2;0.047;54;134;0.9932;3.3;0.97;9.8;7,0.261025606,3628
6.9;0.18;0.38;8.1;0.049;44;176;0.9958;3.3;0.54;9.8;6,0.991664625,40
7;0.2;0.38;8.1;0.05;42;173;0.99585;3.3;0.54;9.8;6,0.493200634,2521
6.8;0.24;0.49;19.3;0.057;55;247;1.00055;3;0.56;8.7;5,0.513597206,2427
5;0.44;0.04;18.6;0.039;38;128;0.9985;3.37;0.57;10.2;6,0.635847486,1777
6.3;0.3;0.28;5;0.042;36;168;0.99505;3.22;0.69;9.5;6,0.836852632,751
7.2;0.27;0.42;1.6;0.05;35;135;0.992;2.94;0.46;11;6,0.086763304,4466
6.7;0.5;0.63;13.4;0.078;81;238;0.9988;3.08;0.44;9.2;5,0.792243485,970
6.8;0.2;0.36;1.6;0.028;7;46;0.99175;3.21;0.6;10.9;6,0.670999508,1605
6.7;0.11;0.34;8.8;0.043;41;113;0.9962;3.42;0.4;9.3;7,0.18775755,3982
6.7;0.11;0.34;8.8;0.043;41;113;0.9962;3.42;0.4;9.3;7,0.859711192,659
6.8;0.12;0.31;5.2;0.045;29;120;0.9942;3.41;0.46;9.8;7,0.928943106,329
6.6;0.16;0.57;1.1;0.13;58;140;0.9927;3.12;0.39;9.3;7,0.610398611,1905
6.6;0.21;0.6;1.1;0.135;61;144;0.9927;3.12;0.39;9.3;7,0.751887986,1175
6.1;0.27;0.3;16.7;0.039;49;172;0.99985;3.4;0.45;9.4;5,0.669331591,1611
9.1;0.27;0.45;10.6;0.035;28;124;0.997;3.2;0.46;10.4;9,0.877252897,583
6.4;0.225;0.48;2.2;0.115;29;104;0.9918;3.24;0.58;12.1;6,0.447175294,2718
8.3;0.14;0.45;1.5;0.039;18;98;0.99215;3.02;0.56;11;6,0.548725597,2236
7.2;0.23;0.19;13.7;0.052;47;197;0.99865;3.12;0.53;9;5,0.192307467,3957
6.9;0.22;0.37;15;0.053;59;178;0.9992;3.37;0.82;9.5;7,0.40856659,2910
8.1;0.17;0.44;14.1;0.053;43;145;1.0006;3.28;0.75;8.8;8,0.685969905,1531
6;0.395;0;1.4;0.042;7;55;0.99135;3.37;0.38;11.2;4,0.288052949,3497
7.8;0.29;0.22;9.5;0.056;44;213;0.99715;3.08;0.61;9.3;6,0.348605858,3191
6.9;0.22;0.37;15;0.053;59;178;0.9992;3.37;0.82;9.5;7,0.360918321,3130
8.1;0.17;0.44;14.1;0.053;43;145;1.0006;3.28;0.75;8.8;8,0.58871621,2022
7.2;0.23;0.19;13.7;0.052;47;197;0.99865;3.12;0.53;9;5,0.645803312,1721
7.6;0.3;0.27;10.6;0.039;31;119;0.99815;3.27;0.3;9.3;6,0.773362353,1065
7.7;0.34;0.28;11;0.04;31;117;0.99815;3.27;0.29;9.2;6,0.393491142,2980
7.7;0.34;0.28;11;0.04;31;117;0.99815;3.27;0.29;9.2;6,0.674699807,1588
5.8;0.34;0.16;7;0.037;26;116;0.9949;3.46;0.45;10;7,0.699142985,1465
7.6;0.3;0.27;10.6;0.039;31;119;0.99815;3.27;0.3;9.3;6,0.951903645,224
7.7;0.34;0.28;11;0.04;31;117;0.99815;3.27;0.29;9.2;6,0.057788434,4604
5.9;0.24;0.3;2;0.033;28;92;0.99225;3.39;0.69;10.9;7,0.210936808,3869
6.4;0.46;0.08;4.9;0.046;34;144;0.99445;3.1;0.56;10;5,0.153642898,4144
5.9;0.24;0.3;2;0.033;28;92;0.99225;3.39;0.69;10.9;7,0.573948938,2102
7.4;0.32;0.27;1.4;0.049;38;173;0.99335;3.03;0.52;9.3;5,0.481517862,2571
7.2;0.31;0.26;7.3;0.05;37;157;0.99625;3.09;0.43;9;5,0.907583579,431
7.8;0.42;0.23;8.8;0.054;42;215;0.9971;3.02;0.58;9.2;6,0.177041935,4040
6.9;0.24;0.33;12.5;0.046;47;153;0.9983;3.28;0.77;9.6;6,0.021240066,4794
5.4;0.18;0.24;4.8;0.041;30;113;0.99445;3.42;0.4;9.4;6,0.381578877,3036
6;0.18;0.31;1.4;0.036;14;75;0.99085;3.34;0.58;11.1;8,0.59130165,2009
7.8;0.27;0.58;11.2;0.036;44;161;0.9977;3.06;0.41;8.9;6,0.11526599,4327
6;0.28;0.49;6.8;0.048;61;222;0.9953;3.19;0.47;9.3;5,0.456296158,2676
6.8;0.39;0.35;11.6;0.044;57;220;0.99775;3.07;0.53;9.3;5,0.299985223,3445
6.6;0.21;0.31;11.4;0.039;46;165;0.99795;3.41;0.44;9.8;7,0.704437352,1432
7.3;0.32;0.34;6.6;0.032;24;112;0.99505;3.22;0.46;9.8;6,0.273455946,3571
7.8;0.27;0.58;11.2;0.036;44;161;0.9977;3.06;0.41;8.9;6,0.975323839,121
6.4;0.31;0.26;13.2;0.046;57;205;0.9975;3.17;0.41;9.6;5,0.931917577,313
6.2;0.29;0.26;13.1;0.046;55;204;0.99745;3.16;0.41;9.6;6,0.820686529,830
6;0.39;0.17;12;0.046;65;246;0.9976;3.15;0.38;9;6,0.551662688,2222
6.2;0.3;0.26;13.4;0.046;57;206;0.99775;3.17;0.43;9.5;6,0.411212866,2901
6;0.28;0.49;6.8;0.048;61;222;0.9953;3.19;0.47;9.3;5,0.538259518,2280
6;0.41;0.05;1.5;0.063;17;120;0.9932;3.21;0.56;9.2;6,0.122582593,4283
6.4;0.35;0.28;1.1;0.055;9;160;0.99405;3.42;0.5;9.1;7,0.694459288,1492
6.5;0.26;0.32;16.5;0.045;44;166;1;3.38;0.46;9.5;6,0.992029078,39
7.9;0.35;0.24;15.6;0.072;44;229;0.99785;3.03;0.59;10.5;6,0.721261414,1347
6.2;0.3;0.17;2.8;0.04;24;125;0.9939;3.01;0.46;9;5,0.801273974,941
8.4;0.18;0.42;5.1;0.036;7;77;0.9939;3.16;0.52;11.7;5,0.550492718,2229
6.6;0.56;0.22;8.9;0.034;27;133;0.99675;3.2;0.51;9.1;5,0.413121007,2891
6.2;0.3;0.17;2.8;0.04;24;125;0.9939;3.01;0.46;9;5,0.855373799,683
6.6;0.56;0.22;8.9;0.034;27;133;0.99675;3.2;0.51;9.1;5,0.501317527,2478
6.6;0.36;0.29;1.6;0.021;24;85;0.98965;3.41;0.61;12.4;9,0.961637165,182
7.3;0.655;0.2;10.2;0.071;28;212;0.9971;2.96;0.58;9.2;6,0.056244698,4614
6.8;0.18;0.21;5.4;0.053;34;104;0.99445;3.3;0.43;9.4;5,0.278813784,3541
6.7;0.19;0.23;6.2;0.047;36;117;0.9945;3.34;0.43;9.6;6,0.815471851,872
8.4;0.18;0.42;5.1;0.036;7;77;0.9939;3.16;0.52;11.7;5,0.888469762,529
7;0.21;0.37;7.2;0.042;36;167;0.9958;3.26;0.56;9.8;6,0.913903433,403
6.8;0.25;0.38;8.1;0.046;24;155;0.9956;3.33;0.59;10.2;6,0.980385986,94
7.4;0.24;0.36;2;0.031;27;139;0.99055;3.28;0.48;12.5;9,0.31797613,3343
7.1;0.16;0.36;10.7;0.044;20;90;0.9959;3.16;0.44;10.9;7,0.352443272,3174
7.1;0.16;0.36;1.2;0.043;21;90;0.9925;3.16;0.42;11;7,0.831068296,778
7.3;0.205;0.31;1.7;0.06;34;110;0.9963;3.72;0.69;10.5;6,0.350073126,3184
7.4;0.17;0.4;5.5;0.037;34;161;0.9935;3.05;0.62;11.5;4,0.062493835,4575
7.3;0.3;0.34;2.7;0.044;34;108;0.99105;3.36;0.53;12.8;8,0.048606014,4662
6.9;0.25;0.34;1.3;0.035;27;82;0.99045;3.18;0.44;12.2;6,0.11839673,4305
7.3;0.205;0.31;1.7;0.06;34;110;0.9963;3.72;0.69;10.5;6,0.565693372,2151
7.5;0.42;0.34;4.3;0.04;34;108;0.99155;3.14;0.45;12.8;8,0.345330825,3209
7.3;0.25;0.36;2.1;0.034;30;177;0.99085;3.25;0.4;11.9;8,0.626485055,1825
7.3;0.25;0.36;2.1;0.034;30;177;0.99085;3.25;0.4;11.9;8,0.060813101,4586
7.3;0.25;0.36;2.1;0.034;30;177;0.99085;3.25;0.4;11.9;8,0.184054235,3998
7.5;0.34;0.35;6;0.034;12;126;0.9924;3.16;0.39;12;7,0.891535461,512
7.6;0.33;0.35;6.3;0.036;12;126;0.9924;3.16;0.39;12;7,0.312397904,3377
8.7;0.23;0.32;13.4;0.044;35;169;0.99975;3.12;0.47;8.8;7,0.439809445,2753
8.7;0.23;0.32;13.4;0.044;35;169;0.99975;3.12;0.47;8.8;7,0.077071313,4496
6.9;0.19;0.35;1.7;0.036;33;101;0.99315;3.21;0.54;10.8;7,0.818867207,850
7.3;0.21;0.29;1.6;0.034;29;118;0.9917;3.3;0.5;11;8,0.983100845,85
7.3;0.21;0.29;1.6;0.034;29;118;0.9917;3.3;0.5;11;8,0.261738236,3620
6.6;0.22;0.37;15.4;0.035;62;153;0.99845;3.02;0.4;9.3;5,0.876192142,590
9.2;0.34;0.27;1.2;0.026;17;73;0.9921;3.08;0.39;10.8;5,0.999309819,8
8.7;0.23;0.32;13.4;0.044;35;169;0.99975;3.12;0.47;8.8;7,0.400180209,2947
6;0.2;0.24;1.8;0.03;30;105;0.9909;3.31;0.47;11.5;6,0.327526642,3295
6.9;0.19;0.35;1.7;0.036;33;101;0.99315;3.21;0.54;10.8;7,0.45250769,2694
8.2;0.38;0.49;13.6;0.042;58;166;0.99855;3.1;0.54;9.4;5,0.413126693,2890
6.9;0.18;0.36;1.3;0.036;40;117;0.9934;3.27;0.95;9.5;7,0.156467787,4124
7.7;0.34;0.58;11.1;0.039;41;151;0.9978;3.06;0.49;8.6;5,0.016914254,4814
6.9;0.18;0.36;1.3;0.036;40;117;0.9934;3.27;0.95;9.5;7,0.856005868,678
7.4;0.2;0.35;2.1;0.038;30;116;0.9949;3.49;0.77;10.3;7,0.777506724,1049
8.2;0.38;0.49;13.6;0.042;58;166;0.99855;3.1;0.54;9.4;5,0.982687673,87
8.2;0.4;0.48;13.7;0.042;59;169;0.9986;3.1;0.52;9.4;5,0.876310216,589
6.7;0.22;0.39;10.2;0.038;60;149;0.99725;3.17;0.54;10;7,0.713415379,1390
6.6;0.3;0.3;4.8;0.17;60;166;0.9946;3.18;0.47;9.4;5,0.093646044,4438
8.1;0.27;0.35;1.7;0.03;38;103;0.99255;3.22;0.63;10.4;8,0.820040874,839
7.3;0.25;0.42;14.2;0.041;57;182;0.9996;3.29;0.75;9.1;7,0.661400249,1642
4.8;0.34;0;6.5;0.028;33;163;0.9939;3.36;0.61;9.9;6,0.573800928,2104
6.2;0.28;0.33;1.7;0.029;24;111;0.99;3.24;0.5;12.1;6,0.123380287,4282
4.8;0.33;0;6.5;0.028;34;163;0.9937;3.35;0.61;9.9;5,0.354933456,3157
6.1;0.27;0.33;2.2;0.021;26;117;0.9886;3.12;0.3;12.5;6,0.212607338,3862
6.9;0.18;0.36;1.3;0.036;40;117;0.9934;3.27;0.95;9.5;7,0.041767699,4700
7.8;0.18;0.46;12.6;0.042;41;143;1;3.24;0.76;8.5;8,0.909873017,424
7.3;0.28;0.42;14.4;0.04;49;173;0.9994;3.28;0.82;9;7,0.828633192,786
7.3;0.24;0.29;1.2;0.037;37;97;0.9926;3.19;0.7;10.1;6,0.911368534,417
6;0.45;0.65;9.7;0.08;11;159;0.9956;3.04;0.48;9.4;5,0.745425391,1201
7.7;0.34;0.58;11.1;0.039;41;151;0.9978;3.06;0.49;8.6;5,0.408440406,2911
6.3;0.26;0.21;4;0.03;24;125;0.9915;3.06;0.34;10.7;6,0.986288389,69
10.3;0.17;0.47;1.4;0.037;5;33;0.9939;2.89;0.28;9.6;3,0.094735024,4431
7.7;0.15;0.29;1.3;0.029;10;64;0.9932;3.35;0.39;10.1;5,0.827050605,797
7.1;0.21;0.32;2.2;0.037;28;141;0.993;3.2;0.57;10;7,0.04616825,4677
6.9;0.36;0.34;4.2;0.018;57;119;0.9898;3.28;0.36;12.7;9,0.437376893,2770
6;0.28;0.34;1.6;0.119;33;104;0.9921;3.19;0.38;10.2;6,0.365051133,3113
6.2;0.16;0.54;1.4;0.126;37;110;0.9932;3.23;0.37;8.9;6,0.63958131,1756
6.9;0.12;0.36;2.2;0.037;18;111;0.9919;3.41;0.82;11.9;8,0.012033956,4840
7.1;0.21;0.32;2.2;0.037;28;141;0.993;3.2;0.57;10;7,0.715779093,1376
8.8;0.36;0.44;1.9;0.04;9;121;0.9953;3.19;0.48;9.9;6,0.516369382,2413
7.4;0.26;0.43;6;0.022;22;125;0.9928;3.13;0.55;11.5;6,0.593724415,1995
7.4;0.26;0.43;6;0.022;22;125;0.9928;3.13;0.55;11.5;6,0.785603614,1009
6.8;0.23;0.29;12.2;0.035;38;236;0.9976;3.35;0.52;9.8;6,0.246767133,3694
6.1;0.34;0.27;2.6;0.024;20;105;0.9906;3.4;0.67;12.2;7,0.311682194,3390
7.3;0.26;0.31;1.6;0.04;39;173;0.9918;3.19;0.51;11.4;6,0.921998471,370
6.5;0.3;0.32;2;0.044;34;90;0.99185;3.37;0.68;11;7,0.202034966,3908
7.3;0.26;0.31;1.6;0.04;39;173;0.9918;3.19;0.51;11.4;6,0.956567782,199
6.5;0.3;0.32;2;0.044;34;90;0.99185;3.37;0.68;11;7,0.825482389,808
5;0.31;0;6.4;0.046;43;166;0.994;3.3;0.63;9.9;6,0.783708822,1019
5.8;0.26;0.18;1.2;0.031;40;114;0.9908;3.42;0.4;11;7,0.554587181,2203
5.9;0.26;0.3;1;0.036;38;114;0.9928;3.58;0.48;9.4;5,0.533437521,2312
7;0.31;0.29;1.4;0.037;33;128;0.9896;3.12;0.36;12.2;7,0.880212954,567
5.8;0.26;0.18;1.2;0.031;40;114;0.9908;3.42;0.4;11;7,0.066757414,4551
5.6;0.19;0.39;1.1;0.043;17;67;0.9918;3.23;0.53;10.3;6,0.691616752,1503
6.8;0.18;0.28;8.7;0.047;52;242;0.9952;3.22;0.53;10.5;6,0.158531586,4116
7;0.29;0.26;1.6;0.044;12;87;0.9923;3.08;0.46;10.5;6,0.234385503,3756
6.6;0.26;0.29;1.4;0.039;13;67;0.9915;3.05;0.49;10.9;6,0.078113778,4490
6.8;0.18;0.28;8.5;0.047;52;242;0.9952;3.22;0.53;10.5;6,0.261131577,3625
6.6;0.2;0.38;7.9;0.052;30;145;0.9947;3.32;0.56;11;7,0.108788487,4362
8;0.29;0.29;13.2;0.046;26;113;0.9983;3.25;0.37;9.7;6,0.096086807,4425
6.1;0.28;0.35;12.8;0.048;63;229;0.9975;3.08;0.4;8.9;5,0.716999127,1366
5.9;0.31;0.3;7.7;0.047;60;206;0.995;3.2;0.39;9.6;6,0.005902131,4868
6.9;0.21;0.28;2.4;0.056;49;159;0.9944;3.02;0.47;8.8;8,0.485884108,2554
8.4;0.19;0.42;1.6;0.047;9;101;0.994;3.06;0.65;11.1;4,0.212050245,3866
8.3;0.27;0.45;1.3;0.048;8;72;0.9944;3.08;0.61;10.3;4,0.51897275,2395
7.1;0.25;0.39;2.1;0.036;30;124;0.9908;3.28;0.43;12.2;8,0.710744701,1398
8;0.23;0.37;9.6;0.054;23;159;0.99795;3.32;0.47;9.8;4,0.581973813,2053
7.5;0.24;0.31;13;0.049;46;217;0.9985;3.08;0.53;8.8;5,0.599470704,1967
6.3;0.33;0.2;5.8;0.04;24;144;0.99425;3.15;0.63;9.9;5,0.437688055,2767
6.2;0.33;0.19;5.6;0.042;22;143;0.99425;3.15;0.63;9.9;5,0.035191632,4727
6.3;0.34;0.19;5.8;0.041;22;145;0.9943;3.15;0.63;9.9;5,0.896074909,486
5.8;0.29;0.05;0.8;0.038;11;30;0.9924;3.36;0.35;9.2;5,0.511539674,2437
8;0.32;0.26;1.2;0.05;11.5;88;0.9946;3.24;0.37;9.5;4,0.555190717,2202
5.6;0.29;0.05;0.8;0.038;11;30;0.9924;3.36;0.35;9.2;5,0.608374308,1917
7.4;0.13;0.39;4.7;0.042;36;137;0.995;3.36;0.56;10.3;7,0.164768259,4094
7.7;0.3;0.32;1.6;0.037;23;124;0.9919;2.93;0.33;11;6,0.139856148,4199
7;0.24;0.34;1.4;0.031;27;107;0.99;3.06;0.39;11.9;6,0.842969629,726
8.6;0.18;0.4;1.1;0.04;20;107;0.9923;2.94;0.32;10.2;7,0.984694094,76
7;0.11;0.32;4.6;0.057;59;144;0.9956;3.55;0.44;9.4;7,0.6026858,1947
7.7;0.32;0.62;10.6;0.036;56;153;0.9978;3.13;0.44;8.9;6,0.749338693,1183
7.7;0.32;0.62;10.6;0.036;56;153;0.9978;3.13;0.44;8.9;6,0.568701552,2132
6.5;0.26;0.27;12.9;0.044;69;215;0.9967;3.17;0.43;10;6,0.371394525,3089
7.9;0.28;0.41;2;0.044;50;152;0.9934;3.45;0.49;10.7;8,0.225794295,3802
6.3;0.27;0.23;2.9;0.047;13;100;0.9936;3.28;0.43;9.8;5,0.649897242,1694
5.4;0.595;0.1;2.8;0.042;26;80;0.9932;3.36;0.38;9.3;5,0.560383758,2180
6.7;0.25;0.33;2.9;0.057;52;173;0.9934;3.02;0.48;9.5;7,0.6816463,1549
6.5;0.25;0.35;12;0.055;47;179;0.998;3.58;0.47;10;5,0.465297406,2646
